x,cp
0.000000,0.209821
0.050000,-0.013282
0.100000,-0.090605
0.150000,-0.146053
0.200000,-0.187549
0.250000,-0.219155
0.300000,-0.243116
0.350000,-0.260759
0.400000,-0.272891
0.450000,-0.279997
0.500000,-0.282338
0.550000,-0.279997
0.600000,-0.272891
0.650000,-0.260759
0.700000,-0.243116
0.750000,-0.219155
0.800000,-0.187549
0.850000,-0.146053
0.900000,-0.090605
0.950000,-0.013282
1.000000,0.209821
