x,y,phi,u,v,cp
-2.0783064365386963,-0.025,-2.0783064365386963,1,0,0
-2.0783064365386963,0.025,-2.0783064365386963,1,0,0
-2.0783064365386963,0.0875,-2.0783064365386963,1,0,0
-2.0783064365386963,0.16562499999999997,-2.0783064365386963,1,0,0
-2.0783064365386963,0.2632812499999999,-2.0783064365386963,1,0,0
-2.0783064365386963,0.38535156249999986,-2.0783064365386963,1,0,0
-2.0783064365386963,0.5379394531249998,-2.0783064365386963,1,0,0
-2.0783064365386963,0.7286743164062497,-2.0783064365386963,1,0,0
-2.0783064365386963,0.9670928955078121,-2.0783064365386963,1,0,0
-2.0783064365386963,1.265116119384765,-2.0783064365386963,1,0,0
-2.0783064365386963,1.6376451492309565,-2.0783064365386963,1,0,0
-2.0783064365386963,2.1033064365386958,-2.0783064365386963,1,0,0
-1.612645149230957,-0.025,-1.6148181685950433,0.9949434434220195,0.000000000000879296635503124,0.010087544391534808
-1.612645149230957,0.025,-1.6148181685949994,0.9949434434221159,0.00006543668464963225,0.010087540109383064
-1.612645149230957,0.0875,-1.6148108069680203,0.994964125102024,0.00019856000562394158,0.01004635033388801
-1.612645149230957,0.16562499999999997,-1.6147902460942085,0.9950217172879169,0.0003606239490687183,0.00993165207577218
-1.612645149230957,0.2632812499999999,-1.614747416039473,0.9951408474447553,0.0005514881175855006,0.009694389607790455
-1.612645149230957,0.38535156249999986,-1.6146690695058719,0.9953558435566605,0.0007638021818541654,0.00926616130383584
-1.612645149230957,0.5379394531249998,-1.614537631504662,0.9957083381089756,0.0009779167077743401,0.008563949099174573
-1.612645149230957,0.7286743164062497,-1.6143333284486678,0.9962372341156425,0.0011590907227594619,0.007510029870311019
-1.612645149230957,0.9670928955078121,-1.6140402037309558,0.9969598762533236,0.001264867791978436,0.0060694052504265406
-1.612645149230957,1.265116119384765,-1.6136548004898095,0.9978546514634761,0.0012703376527849173,0.004284480794952583
-1.612645149230957,1.6376451492309565,-1.6131883759548915,0.9988714198578424,0.0012045608714267944,0.002254435624284845
-1.612645149230957,2.1033064365386958,-1.612645149230957,1,0,0
-1.2401161193847656,-0.025,-1.24435447614657,0.9937211412751498,0.000000000001616484723854228,0.01251829338281385
-1.2401161193847656,0.025,-1.244354476146489,0.993721141275252,0.00015409052375403578,0.012518269638721047
-1.2401161193847656,0.0875,-1.2443371409626476,0.9937609887022348,0.00046654859662630273,0.012438879665963576
-1.2401161193847656,0.16562499999999997,-1.2442888677500885,0.9938710882609955,0.0008426777969892408,0.012219549813034969
-1.2401161193847656,0.2632812499999999,-1.2441890140061456,0.9940946864754739,0.0012745905637499776,0.011774129740123929
