x,y,phi,u,v,cp
-2.0783064365386963,-0.025,-2.0783064365386963,1,0,0
-2.0783064365386963,0.025,-2.0783064365386963,1,0,0
-2.0783064365386963,0.0875,-2.0783064365386963,1,0,0
-2.0783064365386963,0.16562499999999997,-2.0783064365386963,1,0,0
-2.0783064365386963,0.2632812499999999,-2.0783064365386963,1,0,0
-2.0783064365386963,0.38535156249999986,-2.0783064365386963,1,0,0
-2.0783064365386963,0.5379394531249998,-2.0783064365386963,1,0,0
-2.0783064365386963,0.7286743164062497,-2.0783064365386963,1,0,0
-2.0783064365386963,0.9670928955078121,-2.0783064365386963,1,0,0
-2.0783064365386963,1.265116119384765,-2.0783064365386963,1,0,0
-2.0783064365386963,1.6376451492309565,-2.0783064365386963,1,0,0
-2.0783064365386963,2.1033064365386958,-2.0783064365386963,1,0,0
-1.612645149230957,-0.025,-1.6136397541857608,0.9976453134999593,-0.00000045232948941986706,0.004703828451363301
-1.612645149230957,0.025,-1.6136397768022352,0.9976452658469401,0.000036060845233344535,0.004703922232803581
-1.612645149230957,0.0875,-1.613635697340672,0.9976564117206592,0.00011028471860975568,0.0046816719899392956
-1.612645149230957,0.16562499999999997,-1.6136242680136808,0.9976875427718014,0.00020102971082375622,0.004619526585020295
-1.612645149230957,0.2632812499999999,-1.6136003600868163,0.9977521703633094,0.00030897384883549737,0.004490511070466274
-1.612645149230957,0.38535156249999986,-1.6135563782519737,0.9978694903666049,0.0004312802476116406,0.004256294192840349
-1.612645149230957,0.5379394531249998,-1.613481905428964,0.9980636846985115,0.0005592835960347053,0.003868568487889412
-1.612645149230957,0.7286743164062497,-1.6133643634675685,0.9983600009754149,0.0006773029769294795,0.003276849713047092
-1.612645149230957,0.9670928955078121,-1.6131912385248786,0.9987771159155038,0.0007661917154300548,0.002443685673763518
-1.612645149230957,1.265116119384765,-1.612953346202316,0.9993219757612907,0.0008143873812807933,0.0013549255337436117
-1.612645149230957,1.6376451492309565,-1.612645149230957,1,0.00036769330908695855,-0.00000013519836961073395
-1.612645149230957,2.1033064365386958,-1.612645149230957,1,0,0
-1.2401161193847656,-0.025,-1.2420897948090328,0.9969719190020798,-0.0000007988459849173069,0.006046992720672217
-1.2401161193847656,0.025,-1.242089834751332,0.9969718701730311,0.00008268818780700196,0.006047083246352392
-1.2401161193847656,0.0875,-1.2420804923879045,0.9969924444606647,0.0002519901088552009,0.006006002189333448
-1.2401161193847656,0.16562499999999997,-1.2420543986422743,0.9970493838623994,0.000456612790347006,0.0058923176443694825
-1.2401161193847656,0.2632812499999999,-1.2420002284208513,0.9971653347418673,0.0006940749923837255,0.005660813449044677
