iter,max,average
1,1.7777777777777781,0.03974706413730778
2,1.3481551724137963,0.03765518020122709
3,0.9851487213219458,0.03605834826696374
4,0.8467654066160266,0.03476749896555963
5,0.7399956872830982,0.033669858895830254
6,0.6505186159878315,0.03270355932824379
7,0.597974557975809,0.031834400943760076
8,0.5403132171606579,0.031039906105302932
9,0.5048667176862902,0.030305270485908226
10,0.46433529942712415,0.029619867636854338
11,0.43858118597800144,0.028975859690558617
12,0.4083704392227281,0.02836719957812735
13,0.38869899892960325,0.027789208966681394
14,0.36520735823522577,0.027238115735955557
15,0.34961908142436815,0.026710942885026272
16,0.3307558189178974,0.02620520263282308
17,0.31804867303068685,0.025718913384967096
18,0.3025156182891686,0.025250358497191535
19,0.29192276975634723,0.024798160184937156
20,0.2788706725620086,0.024361084017560763
21,0.26987925336936835,0.02393812732513266
22,0.25872855804715744,0.02352836749813635
23,0.25098194745765723,0.023131041365290934
24,0.2413230955629803,0.022745434010584372
25,0.23456516404142277,0.022370940690024658
26,0.22610016915004935,0.022006988662190082
27,0.22014191467159136,0.02165308250119529
28,0.21264857456721906,0.021308749457199367
29,0.20734731046548185,0.020973572981423147
30,0.20065642924101332,0.020647152675273957
31,0.1959023188922717,0.02032913135388089
32,0.18988271758080358,0.02001916259850051
33,0.18558978008798882,0.01971693554595651
34,0.18013814176293574,0.019422145380477908
35,0.1762380751258797,0.019134518438066662
36,0.17127188881565758,0.018853783039085623
37,0.16770972459743988,0.018579696052305496
38,0.16316227289905805,0.018312013030177415
39,0.15989325461277237,0.018050516314036796
40,0.15570998357729998,0.01779498447019608
41,0.15269728276356404,0.01754522135306327
42,0.14883312779027835,0.01730102543870056
43,0.14604614591844312,0.017062218924094315
44,0.14246353203815976,0.016828617833097408
45,0.1398766199020346,0.01660006012251142
46,0.1365439462025339,0.016376377503044194
47,0.13413542586863259,0.016157421559581248
48,0.1310259029496712,0.01594303817402639
49,0.12877731224904848,0.015733090781234766
50,0.1258680607172794,0.015527438163519328
51,0.12376356362101915,0.015325954108961969
52,0.12103490803861644,0.015128509209538064
53,0.11906083016642932,0.014934986336003948
54,0.11649574101064109,0.014745266937095446
55,0.1146402005544021,0.014559241878925412
56,0.11222384941936636,0.014376802623990272
57,0.11047646153401453,0.014197847095866946
58,0.1082376371345718,0.014022276018669056
59,0.10654750206043595,0.01384999355820054
60,0.10461957006974498,0.013680909025379702
61,0.10283383025659742,0.013514932114419665
62,0.10118913973454313,0.013351980115428012
63,0.09931817915781876,0.013191967621763202
64,0.09793175176325053,0.013034819354315061
65,0.09610487662371625,0.012880454247478261
66,0.09483440332388593,0.012728803957074512
67,0.0930942879258213,0.012579791260934132
68,0.09188545974982476,0.012433354300782967
69,0.09022587755409206,0.012289419252301642
70,0.08907446850958889,0.012147930335833751
71,0.08748981391782473,0.01200881672453574
72,0.08639200344894626,0.011872028347259039
73,0.08487721177452123,0.011737497014000318
74,0.08382953371262036,0.011605178025040505
75,0.08238001357807945,0.011475005501858187
76,0.08137931289178002,0.01134693980837774
77,0.07999088884783023,0.011220917083812393
78,0.0790342848308021,0.011096902473845371
79,0.07770314842464465,0.010974833870228958
80,0.07678800322181478,0.010854680941381227
81,0.07551067108317788,0.010736383092351724
82,0.07463456266340673,0.010619914275409191
83,0.07340784044625337,0.010505215193377644
84,0.07256853929458251,0.010392263861214432
85,0.07138949052641641,0.010281002085753421
86,0.07058493946095312,0.010171411739067262
87,0.06945085852294353,0.010063435558248842
88,0.0686791551474043,0.009957059080630031
89,0.06758754374625608,0.009852225818253312
90,0.06684692513446666,0.009748924793930466
91,0.06579547173747824,0.009647100156351342
92,0.06508430101585305,0.009546744244693161
93,0.06407086281090901,0.009447801721668439
94,0.06338761736048804,0.009350268083144611
95,0.06241020437561795,0.009254088397683304
96,0.061753465421894194,0.009159261166552702
97,0.06081022649890899,0.009065731769294788
98,0.06017866989480436,0.008973501568774975
99,0.05926788026048335,0.00888251617287249
100,0.058660268299078666,0.00879277966897457
101,0.05778031851774057,0.008704237821865692
102,0.05719549263674706,0.008616897312451983
103,0.05634487876145711,0.008530704001263462
104,0.055781753022670744,0.008445667037243833
