x,y,phi,u,v,cp
-2.0783064365386963,-0.025,-2.0783064365386963,1,0,0
-2.0783064365386963,0.025,-2.0783064365386963,1,0,0
-2.0783064365386963,0.0875,-2.0783064365386963,1,0,0
-2.0783064365386963,0.16562499999999997,-2.0783064365386963,1,0,0
-2.0783064365386963,0.2632812499999999,-2.0783064365386963,1,0,0
-2.0783064365386963,0.38535156249999986,-2.0783064365386963,1,0,0
-2.0783064365386963,0.5379394531249998,-2.0783064365386963,1,0,0
-2.0783064365386963,0.7286743164062497,-2.0783064365386963,1,0,0
-2.0783064365386963,0.9670928955078121,-2.0783064365386963,1,0,0
-2.0783064365386963,1.265116119384765,-2.0783064365386963,1,0,0
-2.0783064365386963,1.6376451492309565,-2.0783064365386963,1,0,0
-2.0783064365386963,2.1033064365386958,-2.0783064365386963,1,0,0
-1.612645149230957,-0.025,-1.613731658906096,0.9974717217261794,0,0.005050164356611431
-1.612645149230957,0.025,-1.613731658906096,0.9974717217261794,0.00003271834163203696,0.005050163286121512
-1.612645149230957,0.0875,-1.6137279780926623,0.9974820625660107,0.00009928000168852378,0.005029525002538393
-1.612645149230957,0.16562499999999997,-1.6137176976558585,0.9975108586587326,0.0001803119730122187,0.004972054345510402
-1.612645149230957,0.2632812499999999,-1.6136962826286563,0.997570423736788,0.00027574405688836947,0.004853173650820386
-1.612645149230957,0.38535156249999986,-1.6136571093621086,0.9976779217921843,0.00038190108864041085,0.004638618519986704
-1.612645149230957,0.5379394531249998,-1.6135913903618788,0.9978541690675184,0.0004889583512092942,0.004286818194303099
-1.612645149230957,0.7286743164062497,-1.613489238834426,0.9981186170696558,0.0005795453582983467,0.003758890386135527
-1.612645149230957,0.9670928955078121,-1.613342676476348,0.9984799381367866,0.0006324338924963444,0.0030374131657304737
-1.612645149230957,1.265116119384765,-1.6131499748568705,0.998927325739456,0.0006351688225090504,0.0021437944515857454
-1.612645149230957,1.6376451492309565,-1.61291676259092,0.9994357099333246,0.0006022804315225283,0.0011278989683531915
-1.612645149230957,2.1033064365386958,-1.612645149230957,1,0,0
-1.2401161193847656,-0.025,-1.2422352977529527,0.9968605706536657,0,0.006269002676047908
-1.2401161193847656,0.025,-1.2422352977529527,0.9968605706536657,0.00007704526060297528,0.00626899674007575
-1.2401161193847656,0.0875,-1.2422266301611349,0.9968804943670267,0.00023327429624310354,0.006229225533655014
-1.2401161193847656,0.16562499999999997,-1.2422024935550435,0.9969355441461689,0.0004213388956890819,0.0061193432915170876
-1.2401161193847656,0.2632812499999999,-1.242152566683377,0.9970473432530222,0.0006372952783648445,0.005896189166818222
