0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000001,-0.000001,-0.000001,-0.000001,0.099999,0.089999,0.079999,0.069999,0.059999,0.049999,0.039999,0.029999,0.019999,0.009999,-0.000001,-0.010001,-0.020000,-0.030000,-0.040000,-0.050000,-0.060000,-0.070000,-0.080000,-0.090000,-0.100000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000
0.000000,0.000033,0.000077,0.000151,0.000286,0.000544,0.001060,0.002183,0.004914,0.012189,0.076127,0.075025,0.069633,0.062380,0.054230,0.045604,0.036705,0.027640,0.018475,0.009250,-0.000001,-0.009252,-0.018476,-0.027642,-0.036706,-0.045606,-0.054231,-0.062381,-0.069634,-0.075026,-0.076128,-0.012190,-0.004915,-0.002185,-0.001061,-0.000545,-0.000287,-0.000152,-0.000077,-0.000033,0.000000
0.000000,0.000099,0.000233,0.000456,0.000858,0.001607,0.003048,0.005910,0.011729,0.023504,0.046334,0.051867,0.051653,0.048335,0.043239,0.037074,0.030241,0.022981,0.015452,0.007762,-0.000001,-0.007765,-0.015455,-0.022984,-0.030244,-0.037077,-0.043242,-0.048338,-0.051656,-0.051870,-0.046336,-0.023506,-0.011732,-0.005913,-0.003050,-0.001609,-0.000859,-0.000457,-0.000234,-0.000099,0.000000
0.000000,0.000180,0.000421,0.000816,0.001508,0.002740,0.004917,0.008648,0.014596,0.022848,0.031558,0.035310,0.036235,0.034951,0.032062,0.028032,0.023202,0.017819,0.012066,0.006086,-0.000002,-0.006090,-0.012070,-0.017823,-0.023206,-0.028036,-0.032066,-0.034955,-0.036239,-0.035314,-0.031562,-0.022851,-0.014599,-0.008651,-0.004920,-0.002742,-0.001510,-0.000817,-0.000422,-0.000181,0.000000
0.000000,0.000275,0.000636,0.001210,0.002166,0.003737,0.006191,0.009702,0.014091,0.018617,0.022138,0.023891,0.024440,0.023804,0.022131,0.019607,0.016415,0.012720,0.008668,0.004388,-0.000003,-0.004394,-0.008674,-0.012726,-0.016420,-0.019612,-0.022137,-0.023810,-0.024445,-0.023896,-0.022143,-0.018621,-0.014096,-0.009706,-0.006195,-0.003740,-0.002169,-0.001212,-0.000638,-0.000276,0.000000
0.000000,0.000381,0.000865,0.001592,0.002709,0.004350,0.006547,0.009138,0.011730,0.013850,0.015202,0.015807,0.015875,0.015363,0.014288,0.012704,0.010685,0.008318,0.005688,0.002885,-0.000004,-0.002893,-0.005696,-0.008325,-0.010693,-0.012711,-0.014295,-0.015370,-0.015882,-0.015814,-0.015209,-0.013857,-0.011736,-0.009143,-0.006552,-0.004354,-0.002713,-0.001595,-0.000867,-0.000382,0.000000
0.000000,0.000488,0.001074,0.001884,0.002996,0.004409,0.006000,0.007538,0.008784,0.009598,0.009988,0.010057,0.009872,0.009411,0.008673,0.007672,0.006437,0.005006,0.003422,0.001735,-0.000005,-0.001744,-0.003431,-0.005015,-0.006447,-0.007682,-0.008682,-0.009420,-0.009881,-0.010066,-0.009996,-0.009606,-0.008791,-0.007545,-0.006006,-0.004415,-0.003001,-0.001888,-0.001077,-0.000490,0.000000
0.000000,0.000579,0.001220,0.002007,0.002940,0.003939,0.004865,0.005587,0.006037,0.006230,0.006227,0.006102,0.005856,0.005483,0.004984,0.004363,0.003633,0.002810,0.001913,0.000966,-0.000006,-0.000979,-0.001926,-0.002822,-0.003645,-0.004375,-0.004995,-0.005495,-0.005867,-0.006113,-0.006238,-0.006240,-0.006047,-0.005596,-0.004873,-0.003946,-0.002946,-0.002012,-0.001224,-0.000580,0.000000
0.000000,0.000631,0.001261,0.001923,0.002576,0.003146,0.003563,0.003798,0.003869,0.003819,0.003697,0.003541,0.003330,0.003064,0.002744,0.002374,0.001957,0.001502,0.001016,0.000510,-0.000007,-0.000525,-0.001031,-0.001517,-0.001972,-0.002388,-0.002758,-0.003078,-0.003344,-0.003554,-0.003710,-0.003832,-0.003880,-0.003809,-0.003573,-0.003155,-0.002584,-0.001929,-0.001265,-0.000633,0.000000
0.000000,0.000634,0.001192,0.001677,0.002060,0.002313,0.002433,0.002442,0.002375,0.002265,0.002137,0.002009,0.001857,0.001683,0.001487,0.001272,0.001038,0.000790,0.000530,0.000263,-0.000009,-0.000280,-0.000548,-0.000808,-0.001056,-0.001289,-0.001504,-0.001700,-0.001874,-0.002025,-0.002152,-0.002279,-0.002389,-0.002455,-0.002445,-0.002323,-0.002069,-0.001684,-0.001197,-0.000636,0.000000
0.000000,0.000601,0.001070,0.001404,0.001604,0.001684,0.001674,0.001607,0.001510,0.001403,0.001299,0.001203,0.001098,0.000983,0.000860,0.000728,0.000589,0.000444,0.000295,0.000144,-0.000010,-0.000163,-0.000315,-0.000464,-0.000608,-0.000747,-0.000878,-0.001002,-0.001116,-0.001221,-0.001316,-0.001419,-0.001525,-0.001621,-0.001687,-0.001696,-0.001613,-0.001412,-0.001075,-0.000604,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
