x,y,phi,u,v,cp
-2.0783064365386963,-0.025,-2.0783064365386963,1,0,0
-2.0783064365386963,0.025,-2.0783064365386963,1,0,0
-2.0783064365386963,0.0875,-2.0783064365386963,1,0,0
-2.0783064365386963,0.16562499999999997,-2.0783064365386963,1,0,0
-2.0783064365386963,0.2632812499999999,-2.0783064365386963,1,0,0
-2.0783064365386963,0.38535156249999986,-2.0783064365386963,1,0,0
-2.0783064365386963,0.5379394531249998,-2.0783064365386963,1,0,0
-2.0783064365386963,0.7286743164062497,-2.0783064365386963,1,0,0
-2.0783064365386963,0.9670928955078121,-2.0783064365386963,1,0,0
-2.0783064365386963,1.265116119384765,-2.0783064365386963,1,0,0
-2.0783064365386963,1.6376451492309565,-2.0783064365386963,1,0,0
-2.0783064365386963,2.1033064365386958,-2.0783064365386963,1,0,0
-1.612645149230957,-0.025,-1.6137291866938115,0.997477224979646,-0.00000012257502568502332,0.0050391856468897656
-1.612645149230957,0.025,-1.6137291928225628,0.9974772114531186,0.00003253800773903335,0.005039211572988478
-1.612645149230957,0.0875,-1.6137255261679408,0.9974875209469962,0.0000989979075380158,0.0050186357544300675
-1.612645149230957,0.16562499999999997,-1.6137152712418152,0.9975162604646863,0.0001799220582294463,0.004961277736601044
-1.612645149230957,0.2632812499999999,-1.6136938992436427,0.9975757300026523,0.0002752297819026556,0.004842587158242484
-1.612645149230957,0.38535156249999986,-1.6136547959479401,0.9976830725555179,0.0003812417042976855,0.004628341390944146
-1.612645149230957,0.5379394531249998,-1.613589188082184,0.9978590726710613,0.00048812984616443953,0.0042770328173028505
-1.612645149230957,0.7286743164062497,-1.6134872098648911,0.9981231350265076,0.0005785230657722184,0.0037498726359183054
-1.612645149230957,0.9670928955078121,-1.61334091291701,0.9984838652754094,0.0006311983818275236,0.003029572373280831
-1.612645149230957,1.265116119384765,-1.6131486086669065,0.9989303680919612,0.0006337177900960049,0.0021377181054214045
-1.612645149230957,1.6376451492309565,-1.6129159720246367,0.9994374704503673,0.0006006505034070545,0.001124381878743863
-1.612645149230957,2.1033064365386958,-1.612645149230957,1,0,0
-1.2401161193847656,-0.025,-1.2422306849791842,0.9968665947126436,-0.00000022675608501998568,0.00625699234596655
-1.2401161193847656,0.025,-1.2422306963169885,0.9968665802379968,0.00007671093456649046,0.006257015320033976
-1.2401161193847656,0.0875,-1.2422220549990455,0.9968864701288198,0.0002327502463322794,0.006217311501424572
-1.2401161193847656,0.16562499999999997,-1.242197965813598,0.9969414585822814,0.00042061355426818026,0.006107551244071141
-1.2401161193847656,0.2632812499999999,-1.2421481190227093,0.9970531537967859,0.000636337626768485,0.005884603578307446
