x,y,phi,u,v,cp
-2.0783064365386963,-0.025,-2.0783064365386963,1,0,0
-2.0783064365386963,0.025,-2.0783064365386963,1,0,0
-2.0783064365386963,0.0875,-2.0783064365386963,1,0,0
-2.0783064365386963,0.16562499999999997,-2.0783064365386963,1,0,0
-2.0783064365386963,0.2632812499999999,-2.0783064365386963,1,0,0
-2.0783064365386963,0.38535156249999986,-2.0783064365386963,1,0,0
-2.0783064365386963,0.5379394531249998,-2.0783064365386963,1,0,0
-2.0783064365386963,0.7286743164062497,-2.0783064365386963,1,0,0
-2.0783064365386963,0.9670928955078121,-2.0783064365386963,1,0,0
-2.0783064365386963,1.265116119384765,-2.0783064365386963,1,0,0
-2.0783064365386963,1.6376451492309565,-2.0783064365386963,1,0,0
-2.0783064365386963,2.1033064365386958,-2.0783064365386963,1,0,0
-1.612645149230957,-0.025,-1.6137316589060924,0.9974717217261839,0,0.005050164356602327
-1.612645149230957,0.025,-1.6137316589060924,0.9974717217261839,0.00003271834163203696,0.005050163286112408
-1.612645149230957,0.0875,-1.6137279780926588,0.9974820625660149,0.00009928000168536581,0.005029525002530066
-1.612645149230957,0.16562499999999997,-1.6137176976558554,0.9975108586587368,0.00018031197300842915,0.004972054345501964
-1.612645149230957,0.2632812499999999,-1.6136962826286534,0.9975704237367918,0.00027574405688432724,0.0048531736508127254
-1.612645149230957,0.38535156249999986,-1.6136571093621064,0.9976779217921877,0.0003819010886371771,0.00463861851997982
-1.612645149230957,0.5379394531249998,-1.6135913903618768,0.9978541690675211,0.0004889583512073541,0.00428681819429777
-1.612645149230957,0.7286743164062497,-1.6134892388344244,0.9981186170696582,0.0005795453582962771,0.003758890386130642
-1.612645149230957,0.9670928955078121,-1.613342676476347,0.9984799381367885,0.0006324338924951026,0.003037413165726699
-1.612645149230957,1.265116119384765,-1.6131499748568696,0.9989273257394573,0.0006351688225080571,0.002143794451583081
-1.612645149230957,1.6376451492309565,-1.6129167625909195,0.9994357099333254,0.0006022804315214687,0.0011278989683516372
-1.612645149230957,2.1033064365386958,-1.612645149230957,1,0,0
-1.2401161193847656,-0.025,-1.242235297752949,0.9968605706536651,0,0.00626900267604924
-1.2401161193847656,0.025,-1.242235297752949,0.9968605706536651,0.00007704526060100156,0.006268996740077082
-1.2401161193847656,0.0875,-1.2422266301611313,0.996880494367026,0.00023327429624152456,0.006229225533656568
-1.2401161193847656,0.16562499999999997,-1.24220249355504,0.9969355441461686,0.00042133889568781867,0.006119343291517754
-1.2401161193847656,0.2632812499999999,-1.2421525666833737,0.9970473432530221,0.0006372952783618128,0.005896189166818444
